Performance Struct Name:,Performance_01,,,,
Portfolio Tracked:,Portfolio_01,,,,
,,,,,
Year,Month,Day,Total Investment,Total Revenue,Total Value
0,0,99,5290.99,30.99,379.26
0,0,100,5290.99,48.54,379.35
0,0,101,5290.99,48.54,379.35
0,0,102,5290.99,48.54,379.35
0,0,103,5290.99,48.54,379.35
0,0,104,5290.99,48.54,379.35
0,0,105,5290.99,48.54,379.35
0,0,106,5290.99,48.54,379.35
0,0,107,5290.99,48.54,379.35
0,0,108,5290.99,48.54,379.35
0,0,109,5290.99,48.54,379.35
0,0,110,5290.99,72.85,377.52
0,0,111,5290.99,72.85,377.52
0,0,112,5290.99,72.85,377.52
0,0,113,5290.99,72.85,377.52
0,0,114,5310.03,72.85,378.08
0,0,115,5310.03,72.85,378.08
0,0,116,5310.03,72.85,378.08
0,0,117,5310.03,72.85,378.08
0,0,118,5310.03,72.85,378.08
0,0,119,5310.03,72.85,378.08
0,0,120,5310.03,72.85,378.08
0,0,121,5310.03,72.85,378.08
0,0,122,5310.03,72.85,378.08
0,0,123,5310.03,72.85,378.08
0,0,124,5310.03,72.85,378.08
0,0,125,5310.03,72.85,378.08
0,0,126,5310.03,72.85,378.08
0,0,127,5310.03,72.85,378.08
0,0,128,5310.03,72.85,378.08
0,0,129,5310.03,72.85,378.08
0,0,130,5310.03,72.85,378.08
0,0,131,5310.03,72.85,378.08
0,0,132,5310.03,72.85,378.08
0,0,133,5310.03,72.85,378.08
0,0,134,5310.03,72.85,378.08
0,0,135,5310.03,72.85,378.08
0,0,136,5310.03,72.85,378.08
0,0,137,5310.03,72.85,378.08
0,0,138,5325.63,72.85,377
0,0,139,5325.63,72.85,377
0,0,140,5325.63,72.85,377
0,0,141,5325.63,72.85,377
0,0,142,5325.63,72.85,377
0,0,143,5325.63,72.85,377
0,0,144,5325.63,72.85,377
0,0,145,5325.63,90.53,376.72
0,0,146,5325.63,90.53,376.72
0,0,147,5325.63,90.53,376.72
0,0,148,5325.63,90.53,376.72
0,0,149,5325.63,90.53,376.72
0,0,150,5325.63,90.53,376.72
0,0,151,5325.63,90.53,376.72
0,0,152,5325.63,90.53,376.72
0,0,153,5325.63,90.53,376.72
0,0,154,5325.63,90.53,376.72
0,0,155,5325.63,90.53,376.72
0,0,156,5325.63,90.53,376.72
0,0,157,5325.63,90.53,376.72
0,0,158,5325.63,90.53,376.72
0,0,159,5325.63,90.53,376.72
0,0,160,5325.63,90.53,376.72
0,0,161,5325.63,90.53,376.72
0,0,162,5341.23,90.53,375.7
0,0,163,5341.23,90.53,375.7
0,0,164,5341.23,90.53,375.7
0,0,165,5361.97,90.53,373.32
0,0,166,5361.97,90.53,373.32
0,0,167,5361.97,90.53,373.32
0,0,168,5361.97,90.53,373.32
0,0,169,5361.97,90.53,373.32
0,0,170,5361.97,90.53,373.32
0,0,171,5361.97,90.53,373.32
0,0,172,5361.97,90.53,373.32
0,0,173,5377.05,90.53,370.04
0,0,174,5377.05,90.53,370.04
0,0,175,5377.05,90.53,370.04
0,0,176,5377.05,90.53,370.04
0,0,177,5377.05,90.53,370.04
0,0,178,5377.05,90.53,370.04
0,0,179,5377.05,90.53,370.04
0,0,180,5377.05,107.61,372.1
0,0,181,5377.05,107.61,372.1
0,0,182,5377.05,107.61,372.1
0,0,183,5377.05,107.61,372.1
0,0,184,5377.05,107.61,372.1
0,0,185,5377.05,107.61,372.1
0,0,186,5377.05,107.61,372.1
0,0,187,5377.05,107.61,372.1
0,0,188,5377.05,107.61,372.1
0,0,189,5377.05,107.61,372.1
0,0,190,5377.05,107.61,372.1
0,0,191,5377.05,107.61,372.1
0,0,192,5377.05,107.61,372.1
