Performance Struct Name:,Performance_01,,,,,,
Portfolio Tracked:,Portfolio_01,,,,,,
,,,,,,,
Year,Month,Day,Total Investment,Total Revenue,Total Value,,
0,0,208,120203.83,53079.58,2634.58,,-67124.25
0,0,209,120203.83,53079.58,2634.58,,-67124.25
0,0,210,120203.83,53079.58,2634.58,,-67124.25
0,0,211,120203.83,53079.58,2634.58,,-67124.25
0,0,212,120203.83,53079.58,2634.58,,-67124.25
0,0,213,120203.83,53079.58,2634.58,,-67124.25
0,0,214,120203.83,53079.58,2634.58,,-67124.25
0,0,215,120203.83,53079.58,2634.58,,-67124.25
0,0,216,120203.83,53079.58,2634.58,,-67124.25
0,0,217,120203.83,53079.58,2634.58,,-67124.25
0,0,218,120203.83,53079.58,2634.58,,-67124.25
0,0,219,120203.83,53079.58,2634.58,,-67124.25
0,0,220,120203.83,53079.58,2634.58,,-67124.25
0,0,221,120203.83,53079.58,2634.58,,-67124.25
0,0,222,120203.83,53079.58,2634.58,,-67124.25
0,0,223,120203.83,53079.58,2634.58,,-67124.25
0,0,224,120203.83,53079.58,2634.58,,-67124.25
0,0,225,120203.83,53079.58,2634.58,,-67124.25
0,0,226,120203.83,53079.58,2634.58,,-67124.25
0,0,227,120203.83,53079.58,2634.58,,-67124.25
0,0,228,120203.83,53079.58,2634.58,,-67124.25
0,0,229,120203.83,53079.58,2634.58,,-67124.25
0,0,230,120203.83,53079.58,2634.58,,-67124.25
0,0,231,120203.83,53079.58,2634.58,,-67124.25
0,0,232,120203.83,53079.58,2634.58,,-67124.25
0,0,233,120203.83,53079.58,2634.58,,-67124.25
0,0,234,120203.83,53079.58,2634.58,,-67124.25
0,0,235,120203.83,53079.58,2634.58,,-67124.25
0,0,236,120203.83,53079.58,2634.58,,-67124.25
0,0,237,120203.83,53079.58,2634.58,,-67124.25
0,0,238,120203.83,53079.58,2634.58,,-67124.25
0,0,239,120203.83,53079.58,2634.58,,-67124.25
0,0,240,120203.83,53079.58,2634.58,,-67124.25
0,0,241,120203.83,53079.58,2634.58,,-67124.25
0,0,242,120203.83,53079.58,2634.58,,-67124.25
0,0,243,120203.83,53079.58,2634.58,,-67124.25
0,0,244,120203.83,53079.58,2634.58,,-67124.25
0,0,245,120203.83,53079.58,2634.58,,-67124.25
0,0,246,120203.83,53079.58,2634.58,,-67124.25
0,0,247,120203.83,53079.58,2634.58,,-67124.25
0,0,248,120203.83,53079.58,2634.58,,-67124.25
0,0,249,120203.83,53079.58,2634.58,,-67124.25
0,0,250,120203.83,53079.58,2634.58,,-67124.25
0,0,251,120203.83,53079.58,2634.58,,-67124.25
0,0,252,120203.83,53079.58,2634.58,,-67124.25
0,0,253,120203.83,53079.58,2634.58,,-67124.25
0,0,254,120203.83,53079.58,2634.58,,-67124.25
0,0,255,120203.83,53079.58,2634.58,,-67124.25
0,0,256,120203.83,53079.58,2634.58,,-67124.25
0,0,257,120203.83,53079.58,2634.58,,-67124.25
0,0,258,120203.83,53079.58,2634.58,,-67124.25
0,0,259,120203.83,53079.58,2634.58,,-67124.25
0,0,260,120203.83,53079.58,2634.58,,-67124.25
0,0,261,120203.83,53079.58,2634.58,,-67124.25
0,0,262,120203.83,53079.58,2634.58,,-67124.25
0,0,263,120203.83,53079.58,2634.58,,-67124.25
0,0,264,120203.83,53079.58,2634.58,,-67124.25
0,0,265,120203.83,53079.58,2634.58,,-67124.25
0,0,266,120203.83,53079.58,2634.58,,-67124.25
0,0,267,120203.83,53079.58,2634.58,,-67124.25
0,0,268,120203.83,53079.58,2634.58,,-67124.25
0,0,269,120203.83,53079.58,2634.58,,-67124.25
0,0,270,120203.83,53079.58,2634.58,,-67124.25
0,0,271,120203.83,53079.58,2634.58,,-67124.25
0,0,272,120203.83,53079.58,2634.58,,-67124.25
0,0,273,120203.83,53079.58,2634.58,,-67124.25
0,0,274,120203.83,53079.58,2634.58,,-67124.25
0,0,275,120203.83,53079.58,2634.58,,-67124.25
0,0,276,120203.83,53079.58,2634.58,,-67124.25
0,0,277,120203.83,53079.58,2634.58,,-67124.25
0,0,278,120203.83,53079.58,2634.58,,-67124.25
0,0,279,120203.83,53079.58,2634.58,,-67124.25
0,0,280,120203.83,53079.58,2634.58,,-67124.25
0,0,281,120203.83,53079.58,2634.58,,-67124.25
0,0,282,120203.83,53079.58,2634.58,,-67124.25
0,0,283,120203.83,53079.58,2634.58,,-67124.25
0,0,284,120203.83,53079.58,2634.58,,-67124.25
0,0,285,120203.83,53079.58,2634.58,,-67124.25
0,0,286,120203.83,53079.58,2634.58,,-67124.25
0,0,287,120203.83,53079.58,2634.58,,-67124.25
0,0,288,120203.83,53079.58,2634.58,,-67124.25
0,0,289,120203.83,53079.58,2634.58,,-67124.25
0,0,290,120203.83,53079.58,2634.58,,-67124.25
0,0,291,120203.83,53079.58,2634.58,,-67124.25
0,0,292,120203.83,53079.58,2634.58,,-67124.25
0,0,293,120203.83,53079.58,2634.58,,-67124.25
0,0,294,120203.83,53079.58,2634.58,,-67124.25
0,0,295,120203.83,53079.58,2634.58,,-67124.25
0,0,296,120203.83,53079.58,2634.58,,-67124.25
0,0,297,120203.83,53079.58,2634.58,,-67124.25
0,0,298,120203.83,53079.58,2634.58,,-67124.25
0,0,299,120203.83,53079.58,2634.58,,-67124.25
0,0,300,120203.83,53079.58,2634.58,,-67124.25
